Fixation,First_Operand,Second_Operand,Solution,Correct_answer
Fixation_Point3.jpg,S4_450ms.wav,S7_450ms.wav,28,ArrowRight
Fixation_Point3.jpg,S8_450ms.wav,S9_450ms.wav,72,ArrowRight
Fixation_Point3.jpg,S5_450ms.wav,S7_450ms.wav,42,ArrowLeft
Fixation_Point3.jpg,S4_450ms.wav,S9_450ms.wav,27,ArrowLeft
Fixation_Point3.jpg,S4_450ms.wav,S6_450ms.wav,24,ArrowRight
Fixation_Point3.jpg,S8_450ms.wav,S5_450ms.wav,48,ArrowLeft
Fixation_Point3.jpg,S5_450ms.wav,S4_450ms.wav,16,ArrowLeft
Fixation_Point3.jpg,S6_450ms.wav,S8_450ms.wav,48,ArrowRight
Fixation_Point3.jpg,S8_450ms.wav,S6_450ms.wav,54,ArrowLeft
Fixation_Point3.jpg,S3_450ms.wav,S9_450ms.wav,24,ArrowLeft
Fixation_Point3.jpg,S8_450ms.wav,S7_450ms.wav,56,ArrowRight
Fixation_Point3.jpg,S8_450ms.wav,S4_450ms.wav,40,ArrowLeft
Fixation_Point3.jpg,S7_450ms.wav,S5_450ms.wav,35,ArrowRight
Fixation_Point3.jpg,S7_450ms.wav,S3_450ms.wav,24,ArrowLeft
Fixation_Point3.jpg,S9_450ms.wav,S7_450ms.wav,70,ArrowLeft
Fixation_Point3.jpg,S5_450ms.wav,S6_450ms.wav,30,ArrowRight
Fixation_Point3.jpg,S9_450ms.wav,S7_450ms.wav,63,ArrowRight
Fixation_Point3.jpg,S7_450ms.wav,S8_450ms.wav,64,ArrowLeft
Fixation_Point3.jpg,S9_450ms.wav,S3_450ms.wav,30,ArrowLeft
Fixation_Point3.jpg,S5_450ms.wav,S8_450ms.wav,40,ArrowRight
Fixation_Point3.jpg,S2_450ms.wav,S4_450ms.wav,8,ArrowRight
Fixation_Point3.jpg,S9_450ms.wav,S8_450ms.wav,80,ArrowLeft
Fixation_Point3.jpg,S3_450ms.wav,S4_450ms.wav,12,ArrowRight
Fixation_Point3.jpg,S2_450ms.wav,S7_450ms.wav,14,ArrowRight
Fixation_Point3.jpg,S6_450ms.wav,S2_450ms.wav,14,ArrowLeft
Fixation_Point3.jpg,S6_450ms.wav,S5_450ms.wav,36,ArrowLeft
Fixation_Point3.jpg,S5_450ms.wav,S4_450ms.wav,20,ArrowRight
Fixation_Point3.jpg,S7_450ms.wav,S3_450ms.wav,21,ArrowRight
