Nivel 5 y 6,Fixation,First_Operand,Second_Operand,Solution,Answer_correct,Correcto,Incorrecto
,Fixation_Point3.jpg,E8_450ms.wav,E7_450ms.wav,56,ArrowRight,ArrowRight,ArrowLeft
,Fixation_Point3.jpg,E3_450ms.wav,E9_450ms.wav,24,ArrowLeft,,
,Fixation_Point3.jpg,E4_450ms.wav,E7_450ms.wav,28,ArrowRight,,
,Fixation_Point3.jpg,E8_450ms.wav,E5_450ms.wav,48,ArrowLeft,,
,Fixation_Point3.jpg,E7_450ms.wav,E5_450ms.wav,35,ArrowRight,,
,Fixation_Point3.jpg,E4_450ms.wav,E9_450ms.wav,27,ArrowLeft,,
,Fixation_Point3.jpg,E5_450ms.wav,E4_450ms.wav,16,ArrowLeft,,
,Fixation_Point3.jpg,E4_450ms.wav,E6_450ms.wav,24,ArrowRight,,
,Fixation_Point3.jpg,E8_450ms.wav,E9_450ms.wav,72,ArrowRight,,
,Fixation_Point3.jpg,E6_450ms.wav,E8_450ms.wav,48,ArrowRight,,
,Fixation_Point3.jpg,E5_450ms.wav,E7_450ms.wav,42,ArrowLeft,,
,Fixation_Point3.jpg,E8_450ms.wav,E6_450ms.wav,54,ArrowLeft,,
,Fixation_Point3.jpg,E8_450ms.wav,E4_450ms.wav,40,ArrowLeft,,
,Fixation_Point3.jpg,E7_450ms.wav,E3_450ms.wav,24,ArrowLeft,,
,Fixation_Point3.jpg,E6_450ms.wav,E5_450ms.wav,36,ArrowLeft,,
,Fixation_Point3.jpg,E6_450ms.wav,E2_450ms.wav,14,ArrowLeft,,
,Fixation_Point3.jpg,E3_450ms.wav,E4_450ms.wav,12,ArrowRight,,
,Fixation_Point3.jpg,E2_450ms.wav,E4_450ms.wav,8,ArrowRight,,
,Fixation_Point3.jpg,E9_450ms.wav,E3_450ms.wav,30,ArrowLeft,,
,Fixation_Point3.jpg,E7_450ms.wav,E8_450ms.wav,64,ArrowLeft,,
,Fixation_Point3.jpg,E7_450ms.wav,E3_450ms.wav,21,ArrowRight,,
,Fixation_Point3.jpg,E5_450ms.wav,E8_450ms.wav,40,ArrowRight,,
,Fixation_Point3.jpg,E9_450ms.wav,E7_450ms.wav,70,ArrowLeft,,
,Fixation_Point3.jpg,E5_450ms.wav,E4_450ms.wav,20,ArrowRight,,
,Fixation_Point3.jpg,E9_450ms.wav,E8_450ms.wav,80,ArrowLeft,,
,Fixation_Point3.jpg,E5_450ms.wav,E6_450ms.wav,30,ArrowRight,,
,Fixation_Point3.jpg,E2_450ms.wav,E7_450ms.wav,14,ArrowRight,,
,Fixation_Point3.jpg,E9_450ms.wav,E7_450ms.wav,63,ArrowRight,,
